Chart1_SeriesGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_X,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_Y,,,,,,,
THE COLLEGE PREPARATORY HIGH,2013,2013,437,,,,,,,
THE COLLEGE PREPARATORY HIGH,2014,2014,375,,,,,,,
THE COLLEGE PREPARATORY HIGH,2015,2015,290,,,,,,,
THE COLLEGE PREPARATORY HIGH,2016,,0,,,,,,,
THE COLLEGE PREPARATORY HIGH,2017,,0,,,,,,,
TRANSPORTATION AND LAW,2013,2013,269,,,,,,,
TRANSPORTATION AND LAW,2014,2014,357,,,,,,,
TRANSPORTATION AND LAW,2015,2015,364,,,,,,,
TRANSPORTATION AND LAW,2016,2016,370,,,,,,,
TRANSPORTATION AND LAW,2017,2017,314,,,,,,,
VASHON HIGH,2013,2013,900,,,,,,,
VASHON HIGH,2014,2014,864,,,,,,,
VASHON HIGH,2015,2015,645,,,,,,,
VASHON HIGH,2016,2016,616,,,,,,,
VASHON HIGH,2017,2017,510,,,,,,,
VICC,2013,2013,0,,,,,,,
VICC,2014,2014,0,,,,,,,
VICC,2015,2015,0,,,,,,,
VICC,2016,2016,0,,,,,,,
VICC,2017,2017,0,,,,,,,
VO. TECH. TUITION,2013,2013,0,,,,,,,
VO. TECH. TUITION,2014,2014,0,,,,,,,
VO. TECH. TUITION,2015,2015,0,,,,,,,
VO. TECH. TUITION,2016,2016,0,,,,,,,
VO. TECH. TUITION,2017,2017,0,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2013,2013,228,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2014,2014,227,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2015,2015,158,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2016,2016,194,,,,,,,
WALBRIDGE ELEM. COMMUNITY ED.,2017,2017,192,,,,,,,
WASHINGTON MONTESSORI,2013,2013,321,,,,,,,
WASHINGTON MONTESSORI,2014,2014,324,,,,,,,
WASHINGTON MONTESSORI,2015,2015,307,,,,,,,
WASHINGTON MONTESSORI,2016,2016,308,,,,,,,
WASHINGTON MONTESSORI,2017,2017,273,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2013,2013,199,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2014,2014,204,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2015,2015,177,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2016,2016,161,,,,,,,
WILKINSON EARLY CHILDHOOD CTR.,2017,2017,145,,,,,,,
WOERNER ELEM.,2013,2013,366,,,,,,,
WOERNER ELEM.,2014,2014,364,,,,,,,
WOERNER ELEM.,2015,2015,382,,,,,,,
WOERNER ELEM.,2016,2016,384,,,,,,,
WOERNER ELEM.,2017,2017,409,,,,,,,
WOODWARD ELEM.,2013,2013,265,,,,,,,
WOODWARD ELEM.,2014,2014,345,,,,,,,
WOODWARD ELEM.,2015,2015,358,,,,,,,
WOODWARD ELEM.,2016,2016,289,,,,,,,
WOODWARD ELEM.,2017,2017,306,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2013,2013,391,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2014,2014,421,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2015,2015,358,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2016,2016,350,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL,2017,2017,308,,,,,,,
,,,,,,,,,,
SCHOOL_NAME2,YEAR,TOTAL,Asian_Per,Black_Per,Hispanic_Per,Indian_Per,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER_PCT,White_Per,FreeReducedLunch_FTE_Per
School: ACAD OF ENVT SCI/MATH ELEM (4990),2017,238,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH ELEM (4990),2016,261,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH ELEM (4990),2015,328,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH ELEM (4990),2014,505,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH ELEM (4990),2013,786,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2017,180,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2016,216,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,282,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,306,*,*,*,*,*,*,*,*
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,409,*,*,*,*,*,*,*,*
School: ADAMS ELEM. (4000),2017,250,*,*,*,*,*,*,*,*
School: ADAMS ELEM. (4000),2016,271,*,*,*,*,*,*,*,*
School: ADAMS ELEM. (4000),2015,278,*,*,*,*,*,*,*,*
School: ADAMS ELEM. (4000),2014,314,*,*,*,*,*,*,*,*
School: ADAMS ELEM. (4000),2013,279,*,*,*,*,*,*,*,*
School: AMES VISUAL/PERF. ARTS (4250),2017,338,*,*,*,*,*,*,*,*
School: AMES VISUAL/PERF. ARTS (4250),2016,363,*,*,*,*,*,*,*,*
School: AMES VISUAL/PERF. ARTS (4250),2015,345,*,*,*,*,*,*,*,*
School: AMES VISUAL/PERF. ARTS (4250),2014,364,*,*,*,*,*,*,*,94
