Chart1_SeriesGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_X,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_Y,,,,,,,
School: STIX EARLY CHILDHOOD CTR. (5930),2013,350,*,86.3,*,*,*,*,8.6,80.6
School: SUMNER HIGH (1800),2017,320,*,*,*,*,*,*,*,*
School: SUMNER HIGH (1800),2016,356,*,*,*,*,*,*,*,*
School: SUMNER HIGH (1800),2015,440,*,*,*,*,*,*,*,*
School: SUMNER HIGH (1800),2014,579,*,*,*,*,*,*,*,93.7
School: SUMNER HIGH (1800),2013,576,*,*,*,*,*,*,*,89.6
School: THE COLLEGE PREPARATORY HIGH (1550),2015,290,*,*,*,*,*,*,*,*
School: THE COLLEGE PREPARATORY HIGH (1550),2014,375,*,*,*,*,*,*,*,*
School: THE COLLEGE PREPARATORY HIGH (1550),2013,437,*,*,*,*,*,*,*,93.8
School: TRANSPORTATION AND LAW (1540),2017,314,*,*,*,*,*,*,*,*
School: TRANSPORTATION AND LAW (1540),2016,370,*,*,*,*,*,*,*,*
School: TRANSPORTATION AND LAW (1540),2015,364,*,*,*,*,*,*,*,*
School: TRANSPORTATION AND LAW (1540),2014,357,*,*,*,*,*,*,*,*
School: TRANSPORTATION AND LAW (1540),2013,269,*,*,*,*,*,*,*,*
School: VASHON HIGH (1830),2017,510,*,*,*,*,*,*,*,*
School: VASHON HIGH (1830),2016,616,*,*,*,*,*,*,*,*
School: VASHON HIGH (1830),2015,645,*,*,*,*,*,*,*,*
School: VASHON HIGH (1830),2014,864,*,*,*,*,*,*,*,91.9
School: VASHON HIGH (1830),2013,900,*,*,*,*,*,*,*,88.3
School: VICC (9990),2017,*,*,*,*,*,*,*,*,*
School: VICC (9990),2016,*,*,*,*,*,*,*,*,*
School: VICC (9990),2015,*,*,*,*,*,*,*,*,*
School: VICC (9990),2014,*,*,*,*,*,*,*,*,*
School: VICC (9990),2013,*,*,*,*,*,*,*,*,*
School: VO. TECH. TUITION (9995),2017,*,*,*,*,*,*,*,*,*
School: VO. TECH. TUITION (9995),2016,*,*,*,*,*,*,*,*,*
School: VO. TECH. TUITION (9995),2015,*,*,*,*,*,*,*,*,*
School: VO. TECH. TUITION (9995),2014,*,*,*,*,*,*,*,*,*
School: VO. TECH. TUITION (9995),2013,*,*,*,*,*,*,*,*,*
School: WALBRIDGE ELEM. COMMUNITY ED. (5960),2017,192,*,*,*,*,*,*,*,*
School: WALBRIDGE ELEM. COMMUNITY ED. (5960),2016,194,*,*,*,*,*,*,*,*
School: WALBRIDGE ELEM. COMMUNITY ED. (5960),2015,158,*,*,*,*,*,*,*,*
School: WALBRIDGE ELEM. COMMUNITY ED. (5960),2014,227,*,*,*,*,*,*,*,*
School: WALBRIDGE ELEM. COMMUNITY ED. (5960),2013,228,*,*,*,*,*,*,*,93.1
School: WASHINGTON MONTESSORI (6010),2017,273,*,*,*,*,*,*,*,*
School: WASHINGTON MONTESSORI (6010),2016,308,*,*,*,*,*,*,*,*
School: WASHINGTON MONTESSORI (6010),2015,307,*,*,*,*,*,*,*,*
School: WASHINGTON MONTESSORI (6010),2014,324,*,94.8,*,*,*,*,*,90.7
School: WASHINGTON MONTESSORI (6010),2013,321,*,92.2,*,*,*,*,*,93
School: WILKINSON EARLY CHILDHOOD CTR. (6030),2017,145,*,62.8,*,*,*,*,33.1,*
School: WILKINSON EARLY CHILDHOOD CTR. (6030),2016,161,*,60.2,*,*,*,*,35.4,*
School: WILKINSON EARLY CHILDHOOD CTR. (6030),2015,177,*,63.3,*,*,*,*,32.2,*
School: WILKINSON EARLY CHILDHOOD CTR. (6030),2014,204,*,69.1,*,*,*,*,27,72.4
School: WILKINSON EARLY CHILDHOOD CTR. (6030),2013,199,*,65.3,*,*,*,*,32.2,68.2
School: WOERNER ELEM. (5970),2017,409,*,25.2,13,*,*,*,56.7,*
School: WOERNER ELEM. (5970),2016,384,7.6,28.1,11.5,*,*,*,52.9,*
School: WOERNER ELEM. (5970),2015,382,9.7,28,9.9,*,*,*,52.4,*
School: WOERNER ELEM. (5970),2014,364,9.6,24.7,8.5,*,*,*,57.1,89.4
School: WOERNER ELEM. (5970),2013,366,10.7,23.2,7.4,*,*,*,58.7,84.2
School: WOODWARD ELEM. (6120),2017,306,*,75.5,7.8,*,*,*,12.4,*
School: WOODWARD ELEM. (6120),2016,289,*,72.7,9.7,*,*,*,14.5,*
School: WOODWARD ELEM. (6120),2015,358,*,69.3,8.9,*,*,*,17.3,*
School: WOODWARD ELEM. (6120),2014,345,6.1,68.7,11,*,*,*,14.2,*
School: WOODWARD ELEM. (6120),2013,265,6.4,62.3,14.7,*,*,*,16.2,*
School: YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2017,308,*,*,*,*,*,*,*,*
School: YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2016,350,*,*,*,*,*,*,*,*
School: YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,358,*,*,*,*,*,*,*,*
School: YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,421,*,*,*,*,*,*,*,94.7
School: YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,391,*,*,*,*,*,*,*,*
