GraduationRates_Chart_SeriesGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,,,,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2013,0,,,,,,,,,,,,,,,,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2014,0,,,,,,,,,,,,,,,,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2015,0,,,,,,,,,,,,,,,,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2016,,,,,,,,,,,,,,,,,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2017,,,,,,,,,,,,,,,,,,
METRO HIGH (1560),2013,97.1,,,,,,,,,,,,,,,,,
METRO HIGH (1560),2014,83.33,,,,,,,,,,,,,,,,,
METRO HIGH (1560),2015,106.25,,,,,,,,,,,,,,,,,
METRO HIGH (1560),2016,94.37,,,,,,,,,,,,,,,,,
METRO HIGH (1560),2017,110,,,,,,,,,,,,,,,,,
MILLER CAREER ACADEMY (1100),2013,110.43,,,,,,,,,,,,,,,,,
MILLER CAREER ACADEMY (1100),2014,81.5,,,,,,,,,,,,,,,,,
MILLER CAREER ACADEMY (1100),2015,108.72,,,,,,,,,,,,,,,,,
MILLER CAREER ACADEMY (1100),2016,72.73,,,,,,,,,,,,,,,,,
MILLER CAREER ACADEMY (1100),2017,57.06,,,,,,,,,,,,,,,,,
NORTHWEST MIDDLE (3310),2013,0,,,,,,,,,,,,,,,,,
NORTHWEST MIDDLE (3310),2014,0,,,,,,,,,,,,,,,,,
NORTHWEST MIDDLE (3310),2015,,,,,,,,,,,,,,,,,,
NORTHWEST MIDDLE (3310),2016,,,,,,,,,,,,,,,,,,
NORTHWEST MIDDLE (3310),2017,,,,,,,,,,,,,,,,,,
ROOSEVELT 9TH GRADE CTR. (1640),2013,0,,,,,,,,,,,,,,,,,
ROOSEVELT 9TH GRADE CTR. (1640),2014,0,,,,,,,,,,,,,,,,,
ROOSEVELT 9TH GRADE CTR. (1640),2015,,,,,,,,,,,,,,,,,,
ROOSEVELT 9TH GRADE CTR. (1640),2016,,,,,,,,,,,,,,,,,,
ROOSEVELT 9TH GRADE CTR. (1640),2017,,,,,,,,,,,,,,,,,,
ROOSEVELT HIGH (1680),2013,49.08,,,,,,,,,,,,,,,,,
ROOSEVELT HIGH (1680),2014,34.05,,,,,,,,,,,,,,,,,
ROOSEVELT HIGH (1680),2015,41.46,,,,,,,,,,,,,,,,,
ROOSEVELT HIGH (1680),2016,54.68,,,,,,,,,,,,,,,,,
ROOSEVELT HIGH (1680),2017,45.25,,,,,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES (1730),2013,101.66,,,,,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES (1730),2014,61.66,,,,,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES (1730),2015,81.45,,,,,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES (1730),2016,132.41,,,,,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES (1730),2017,88.28,,,,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2013,0,,,,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2014,0,,,,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2015,0,,,,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2016,0,,,,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2017,0,,,,,,,,,,,,,,,,,
STOWE PREPARATORY JR. HIGH (2070),2013,0,,,,,,,,,,,,,,,,,
STOWE PREPARATORY JR. HIGH (2070),2014,0,,,,,,,,,,,,,,,,,
STOWE PREPARATORY JR. HIGH (2070),2015,,,,,,,,,,,,,,,,,,
STOWE PREPARATORY JR. HIGH (2070),2016,,,,,,,,,,,,,,,,,,
STOWE PREPARATORY JR. HIGH (2070),2017,,,,,,,,,,,,,,,,,,
SUMNER HIGH (1800),2013,38.41,,,,,,,,,,,,,,,,,
SUMNER HIGH (1800),2014,46.19,,,,,,,,,,,,,,,,,
SUMNER HIGH (1800),2015,40.1,,,,,,,,,,,,,,,,,
SUMNER HIGH (1800),2016,65.89,,,,,,,,,,,,,,,,,
SUMNER HIGH (1800),2017,45.38,,,,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH (1550),2013,0,,,,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH (1550),2014,105.33,,,,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH (1550),2015,83.33,,,,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH (1550),2016,0,,,,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH (1550),2017,0,,,,,,,,,,,,,,,,,
TRANSPORTATION AND LAW (1540),2013,79.12,,,,,,,,,,,,,,,,,
TRANSPORTATION AND LAW (1540),2014,61.25,,,,,,,,,,,,,,,,,
TRANSPORTATION AND LAW (1540),2015,94.55,,,,,,,,,,,,,,,,,
TRANSPORTATION AND LAW (1540),2016,93.1,,,,,,,,,,,,,,,,,
TRANSPORTATION AND LAW (1540),2017,117.46,,,,,,,,,,,,,,,,,
VASHON 9TH GRADE CTR. (1600),2013,0,,,,,,,,,,,,,,,,,
VASHON 9TH GRADE CTR. (1600),2014,,,,,,,,,,,,,,,,,,
VASHON 9TH GRADE CTR. (1600),2015,,,,,,,,,,,,,,,,,,
VASHON 9TH GRADE CTR. (1600),2016,,,,,,,,,,,,,,,,,,
VASHON 9TH GRADE CTR. (1600),2017,,,,,,,,,,,,,,,,,,
VASHON HIGH (1830),2013,45.61,,,,,,,,,,,,,,,,,
VASHON HIGH (1830),2014,50.47,,,,,,,,,,,,,,,,,
VASHON HIGH (1830),2015,59.04,,,,,,,,,,,,,,,,,
VASHON HIGH (1830),2016,57.91,,,,,,,,,,,,,,,,,
VASHON HIGH (1830),2017,36.4,,,,,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,0,,,,,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,0,,,,,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,0,,,,,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2016,0,,,,,,,,,,,,,,,,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2017,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Name,YEAR,GRADUATES_COHORT,ADJUSTED_COHORT,GRADUATION_RATE_COHORT,BLACK_GRADUATES_COHORT,BLACK_ADJUSTED_COHORT,BLACK_GRADUATION_RATE_COHORT,HISPANIC_GRADUATES_COHORT,HISPANIC_ADJUSTED_COHORT,HISPANIC_GRADUATION_RATE_COHORT,WHITE_GRADUATES_COHORT,WHITE_ADJUSTED_COHORT,WHITE_GRADUATION_RATE_COHORT,OTHER_GRADUATES_COHORT,OTHER_ADJUSTED_COHORT,OTHER_GRADUATION_RATE_COHORT,IEP_GRADUATION_RATE_COHORT,LEP_GRADUATION_RATE_COHORT,FRL_GRADUATION_RATE_COHORT
GRISCOM JUVENILE DETENTION CTR (1015),2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GRISCOM JUVENILE DETENTION CTR (1015),2014,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GRISCOM JUVENILE DETENTION CTR (1015),2015,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GRISCOM JUVENILE DETENTION CTR (1015),2016,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GRISCOM JUVENILE DETENTION CTR (1015),2017,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
