DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
FROEBEL ELEM.,2015,0,,,,,,,,,,,,,
FROEBEL ELEM.,2016,0,,,,,,,,,,,,,
FROEBEL ELEM.,2017,0,,,,,,,,,,,,,
GATEWAY ELEM.,2013,0,,,,,,,,,,,,,
GATEWAY ELEM.,2014,0,,,,,,,,,,,,,
GATEWAY ELEM.,2015,0.2,,,,,,,,,,,,,
GATEWAY ELEM.,2016,0.4,,,,,,,,,,,,,
GATEWAY ELEM.,2017,0.6,,,,,,,,,,,,,
GATEWAY HIGH,2013,3,,,,,,,,,,,,,
GATEWAY HIGH,2014,1.9,,,,,,,,,,,,,
GATEWAY HIGH,2015,2.3,,,,,,,,,,,,,
GATEWAY HIGH,2016,1.4,,,,,,,,,,,,,
GATEWAY HIGH,2017,0.6,,,,,,,,,,,,,
GATEWAY MIDDLE,2013,3.5,,,,,,,,,,,,,
GATEWAY MIDDLE,2014,4.1,,,,,,,,,,,,,
GATEWAY MIDDLE,2015,3.8,,,,,,,,,,,,,
GATEWAY MIDDLE,2016,1.1,,,,,,,,,,,,,
GATEWAY MIDDLE,2017,3.5,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2013,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2014,,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2015,0,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2016,0,,,,,,,,,,,,,
GRISCOM JUVENILE DETENTION CTR,2017,0,,,,,,,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2013,0.3,,,,,,,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2014,1.9,,,,,,,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2015,1.4,,,,,,,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2016,0,,,,,,,,,,,,,
HAMILTON ELEM. COMMUNITY ED.,2017,2.4,,,,,,,,,,,,,
HENRY ELEM.,2013,0.9,,,,,,,,,,,,,
HENRY ELEM.,2014,1.1,,,,,,,,,,,,,
HENRY ELEM.,2015,1.6,,,,,,,,,,,,,
HENRY ELEM.,2016,1.1,,,,,,,,,,,,,
HENRY ELEM.,2017,0,,,,,,,,,,,,,
HERZOG ELEM.,2013,0.5,,,,,,,,,,,,,
HERZOG ELEM.,2014,1.5,,,,,,,,,,,,,
HERZOG ELEM.,2015,0.5,,,,,,,,,,,,,
HERZOG ELEM.,2016,0.3,,,,,,,,,,,,,
HERZOG ELEM.,2017,0.7,,,,,,,,,,,,,
HICKEY ELEM.,2013,1.1,,,,,,,,,,,,,
HICKEY ELEM.,2014,0.5,,,,,,,,,,,,,
HICKEY ELEM.,2015,0,,,,,,,,,,,,,
HICKEY ELEM.,2016,0,,,,,,,,,,,,,
HICKEY ELEM.,2017,2.3,,,,,,,,,,,,,
HODGEN ELEM.,2013,0,,,,,,,,,,,,,
HODGEN ELEM.,2014,0.7,,,,,,,,,,,,,
HODGEN ELEM.,2015,0,,,,,,,,,,,,,
HODGEN ELEM.,2016,1.3,,,,,,,,,,,,,
HODGEN ELEM.,2017,0.5,,,,,,,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2013,0,,,,,,,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2014,0,,,,,,,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2015,0,,,,,,,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2016,0,,,,,,,,,,,,,
HUMBOLDT ACAD OF HIGHER LRNING,2017,0,,,,,,,,,,,,,
JEFFERSON ELEM.,2013,0.9,,,,,,,,,,,,,
JEFFERSON ELEM.,2014,0.9,,,,,,,,,,,,,
JEFFERSON ELEM.,2015,1.5,,,,,,,,,,,,,
JEFFERSON ELEM.,2016,1.6,,,,,,,,,,,,,
JEFFERSON ELEM.,2017,2.2,,,,,,,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2013,0,,,,,,,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2014,0,,,,,,,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2015,0,,,,,,,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2016,0,,,,,,,,,,,,,
KENNARD/CLASSICAL JR. ACAD.,2017,0,,,,,,,,,,,,,
LACLEDE ELEM.,2013,0.5,,,,,,,,,,,,,
LACLEDE ELEM.,2014,0.8,,,,,,,,,,,,,
LACLEDE ELEM.,2015,1.8,,,,,,,,,,,,,
LACLEDE ELEM.,2016,0.5,,,,,,,,,,,,,
LACLEDE ELEM.,2017,0,,,,,,,,,,,,,
LANGSTON MIDDLE,2013,7.6,,,,,,,,,,,,,
LANGSTON MIDDLE,2014,10.1,,,,,,,,,,,,,
LANGSTON MIDDLE,2015,7.4,,,,,,,,,,,,,
LANGSTON MIDDLE,2016,8.3,,,,,,,,,,,,,
LANGSTON MIDDLE,2017,8.8,,,,,,,,,,,,,
LEXINGTON ELEM.,2013,0.4,,,,,,,,,,,,,
LEXINGTON ELEM.,2014,0.9,,,,,,,,,,,,,
LEXINGTON ELEM.,2015,1.2,,,,,,,,,,,,,
LEXINGTON ELEM.,2016,1.2,,,,,,,,,,,,,
LEXINGTON ELEM.,2017,0.9,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2013,9.3,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2014,5.7,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2015,7.9,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2016,3.3,,,,,,,,,,,,,
LONG MIDDLE COMMUNITY ED. CTR.,2017,8.3,,,,,,,,,,,,,
L'OUVERTURE MIDDLE,2013,14.7,,,,,,,,,,,,,
L'OUVERTURE MIDDLE,2014,0,,,,,,,,,,,,,
L'OUVERTURE MIDDLE,2015,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE,2016,,,,,,,,,,,,,,
L'OUVERTURE MIDDLE,2017,,,,,,,,,,,,,,
LYON AT BLOW ELEM.,2013,2.3,,,,,,,,,,,,,
LYON AT BLOW ELEM.,2014,2.1,,,,,,,,,,,,,
LYON AT BLOW ELEM.,2015,2.8,,,,,,,,,,,,,
LYON AT BLOW ELEM.,2016,0.3,,,,,,,,,,,,,
LYON AT BLOW ELEM.,2017,1.2,,,,,,,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2013,0,,,,,,,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2014,0,,,,,,,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2015,0,,,,,,,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2016,0,,,,,,,,,,,,,
MALLINCKRODT A.B.I. ELEM.,2017,0,,,,,,,,,,,,,
MANN ELEM.,2013,2.3,,,,,,,,,,,,,
MANN ELEM.,2014,0,,,,,,,,,,,,,
MANN ELEM.,2015,0.6,,,,,,,,,,,,,
MANN ELEM.,2016,0,,,,,,,,,,,,,
MANN ELEM.,2017,0,,,,,,,,,,,,,
MASON ELEM.,2013,0,,,,,,,,,,,,,
MASON ELEM.,2014,0,,,,,,,,,,,,,
MASON ELEM.,2015,0,,,,,,,,,,,,,
MASON ELEM.,2016,0,,,,,,,,,,,,,
MASON ELEM.,2017,0,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2013,0.2,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2014,0.6,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2015,0.6,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2016,0.4,,,,,,,,,,,,,
MCKINLEY CLASS. LEADERSHIP AC.,2017,0.9,,,,,,,,,,,,,
MERAMEC ELEM.,2013,0,,,,,,,,,,,,,
MERAMEC ELEM.,2014,0.4,,,,,,,,,,,,,
MERAMEC ELEM.,2015,2.2,,,,,,,,,,,,,
MERAMEC ELEM.,2016,2.5,,,,,,,,,,,,,
MERAMEC ELEM.,2017,1,,,,,,,,,,,,,
METRO HIGH,2013,0.3,,,,,,,,,,,,,
METRO HIGH,2014,0,,,,,,,,,,,,,
METRO HIGH,2015,0,,,,,,,,,,,,,
METRO HIGH,2016,0,,,,,,,,,,,,,
METRO HIGH,2017,0,,,,,,,,,,,,,
MILLER CAREER ACADEMY,2013,1.9,,,,,,,,,,,,,
MILLER CAREER ACADEMY,2014,0.4,,,,,,,,,,,,,
MILLER CAREER ACADEMY,2015,3.5,,,,,,,,,,,,,
MILLER CAREER ACADEMY,2016,6.2,,,,,,,,,,,,,
MILLER CAREER ACADEMY,2017,1.7,,,,,,,,,,,,,
MONROE ELEM.,2013,0.6,,,,,,,,,,,,,
MONROE ELEM.,2014,1,,,,,,,,,,,,,
MONROE ELEM.,2015,0,,,,,,,,,,,,,
MONROE ELEM.,2016,0.3,,,,,,,,,,,,,
MONROE ELEM.,2017,1.1,,,,,,,,,,,,,
MULLANPHY BOTANICAL GARDENS,2013,0,,,,,,,,,,,,,
MULLANPHY BOTANICAL GARDENS,2014,0,,,,,,,,,,,,,
MULLANPHY BOTANICAL GARDENS,2015,0.8,,,,,,,,,,,,,
MULLANPHY BOTANICAL GARDENS,2016,2.1,,,,,,,,,,,,,
MULLANPHY BOTANICAL GARDENS,2017,1.9,,,,,,,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2013,,,,,,,,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2014,,,,,,,,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2015,,,,,,,,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2016,0,,,,,,,,,,,,,
NAHED CHAPMAN NEW AMERICAN ACA,2017,0.6,,,,,,,,,,,,,
OAK HILL ELEM.,2013,0,,,,,,,,,,,,,
OAK HILL ELEM.,2014,0,,,,,,,,,,,,,
OAK HILL ELEM.,2015,0,,,,,,,,,,,,,
OAK HILL ELEM.,2016,1.5,,,,,,,,,,,,,
OAK HILL ELEM.,2017,1.7,,,,,,,,,,,,,
PEABODY ELEM.,2013,0.3,,,,,,,,,,,,,
PEABODY ELEM.,2014,1,,,,,,,,,,,,,
PEABODY ELEM.,2015,4.4,,,,,,,,,,,,,
PEABODY ELEM.,2016,1,,,,,,,,,,,,,
