CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
FANNING MIDDLE COMMUNITY ED.  (3140),2014,2014,88.7,,
FANNING MIDDLE COMMUNITY ED.  (3140),2015,2015,93.6,,
FANNING MIDDLE COMMUNITY ED.  (3140),2016,2016,77.6,,
FANNING MIDDLE COMMUNITY ED.  (3140),2017,2017,0,,
FARRAGUT ELEM.  (4580),2013,2013,100,,
FARRAGUT ELEM.  (4580),2014,2014,94.1,,
FARRAGUT ELEM.  (4580),2015,2015,96.4,,
FARRAGUT ELEM.  (4580),2016,2016,100,,
FARRAGUT ELEM.  (4580),2017,2017,0,,
FORD-FORD BR. ELEM. COMM. ED.  (4630),2013,2013,97.7,,
FORD-FORD BR. ELEM. COMM. ED.  (4630),2014,2014,64.6,,
FORD-FORD BR. ELEM. COMM. ED.  (4630),2015,2015,66.1,,
FORD-FORD BR. ELEM. COMM. ED.  (4630),2016,2016,86.7,,
FORD-FORD BR. ELEM. COMM. ED.  (4630),2017,2017,0,,
FROEBEL ELEM.  (4660),2013,2013,96.7,,
FROEBEL ELEM.  (4660),2014,2014,98.2,,
FROEBEL ELEM.  (4660),2015,2015,96.1,,
FROEBEL ELEM.  (4660),2016,2016,95.1,,
FROEBEL ELEM.  (4660),2017,2017,0,,
GATEWAY ELEM.  (4730),2013,2013,99,,
GATEWAY ELEM.  (4730),2014,2014,96,,
GATEWAY ELEM.  (4730),2015,2015,76.9,,
GATEWAY ELEM.  (4730),2016,2016,67.4,,
GATEWAY ELEM.  (4730),2017,2017,0,,
GATEWAY HIGH  (1220),2013,2013,88.7,,
GATEWAY HIGH  (1220),2014,2014,93,,
GATEWAY HIGH  (1220),2015,2015,88.4,,
GATEWAY HIGH  (1220),2016,2016,85.8,,
GATEWAY HIGH  (1220),2017,2017,0,,
GATEWAY MIDDLE  (3230),2013,2013,85.2,,
GATEWAY MIDDLE  (3230),2014,2014,81.1,,
GATEWAY MIDDLE  (3230),2015,2015,70.7,,
GATEWAY MIDDLE  (3230),2016,2016,62.8,,
GATEWAY MIDDLE  (3230),2017,2017,0,,
GRISCOM JUVENILE DETENTION CTR  (1015),2013,,,,
GRISCOM JUVENILE DETENTION CTR  (1015),2014,,,,
GRISCOM JUVENILE DETENTION CTR  (1015),2015,2015,59.2,,
GRISCOM JUVENILE DETENTION CTR  (1015),2016,2016,53.2,,
GRISCOM JUVENILE DETENTION CTR  (1015),2017,2017,0,,
HAMILTON ELEM. COMMUNITY ED.  (4780),2013,2013,67.4,,
HAMILTON ELEM. COMMUNITY ED.  (4780),2014,2014,98.2,,
HAMILTON ELEM. COMMUNITY ED.  (4780),2015,2015,92.5,,
HAMILTON ELEM. COMMUNITY ED.  (4780),2016,2016,95.6,,
HAMILTON ELEM. COMMUNITY ED.  (4780),2017,2017,0,,
HENRY ELEM.  (4880),2013,2013,97.6,,
HENRY ELEM.  (4880),2014,2014,94.6,,
HENRY ELEM.  (4880),2015,2015,61.5,,
HENRY ELEM.  (4880),2016,2016,64.1,,
HENRY ELEM.  (4880),2017,2017,0,,
HERZOG ELEM.  (4900),2013,2013,96.7,,
HERZOG ELEM.  (4900),2014,2014,97.2,,
