National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (33) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00750552,ST JAMES THE GREATER SCHOOL,2,13,1360 TAMM AVE,SAINT LOUIS,29510,510,MO,29,63139,3146475244,177,7.17,Yes,,34,19,16,10,22,16,8,9,8,14,,,,,156,122,0,1,6,11,101,1,2,10.5,11,1,1,1,1,1,0,0.82,4.92,9.02,82.79,0.82,1.64,11.62,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00751964,ST JOAN OF ARC CATHOLIC SCHOOL,3,13,5821 PERNOD AVE,SAINT LOUIS,29510,510,MO,29,63139,3147524171,174,7.25,Yes,,,14,16,19,16,22,17,31,22,24,,,,,181,181,0,6,17,17,131,4,6,14.5,11,1,1,1,1,1,0,3.31,9.39,9.39,72.38,2.21,3.31,12.48,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00752629,ST LOUIS CATHOLIC ACADEMY,3,13,4720 CARTER AVE,SAINT LOUIS,29510,510,MO,29,63115,3143890401,178,6.75,No,,,15,19,13,14,,12,13,15,11,,,,,112,112,0,0,0,112,0,0,0,11.3,11,1,1,1,1,1,0,0,0,100,0,0,0,9.91,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
AA001377,ST LOUIS CHRISTIAN ACADEMY,3,17,3145 LAFAYETTE AVE,SAINT LOUIS,29510,510,MO,29,63104,3146643299,184,6.5,Yes,,,5,3,4,4,1,1,1,5,3,5,5,7,7,51,51,0,1,2,34,10,0,4,9.6,11,1,1,3,2,1,0,1.96,3.92,66.67,19.61,0,7.84,5.31,8,ST. LOUIS CITY,This school does not belong to ANY associations or organizations,,,,,,,
A1502239,ST LOUIS THE KING SCHOOL AT THE CATHEDRAL,4,13,4430 MARYLAND AVE,SAINT LOUIS,29510,510,MO,29,63108,3143738250,177,9,Yes,,,10,9,9,18,10,12,17,22,8,,,,,115,115,0,0,0,113,0,0,2,10.3,11,1,1,1,1,1,0,0,0,98.26,0,0,1.74,11.17,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00751104,ST LOUIS UNIVERSITY HIGH SCHOOL,14,17,4970 OAKLAND AVE,SAINT LOUIS,29510,510,MO,29,63110,3145310330,160,7,Yes,,,,,,,,,,,,247,255,276,260,1038,1038,0,26,33,75,896,8,0,109.8,11,3,1,2,1,1,0,2.5,3.18,7.23,86.32,0.77,0,9.45,1,ST. LOUIS CITY,Jesuit Secondary Education Association (JSEA),National Catholic Educational Association (NCEA),,,,,,
00751986,ST MARY'S HIGH SCHOOL,14,17,4701 S GRAND BLVD,SAINT LOUIS,29510,510,MO,29,63111,3144818400,174,6.75,Yes,,,,,,,,,,,,87,88,88,79,342,342,0,6,32,58,230,0,16,23.8,11,3,1,2,1,1,0,1.75,9.36,16.96,67.25,0,4.68,14.37,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00751997,ST RAPHAEL THE ARCHANGEL SCHOOL,2,13,6000 JAMIESON AVE,SAINT LOUIS,29510,510,MO,29,63109,3143529474,178,7.33,Yes,,60,17,23,19,24,24,13,19,26,12,,,,,237,177,0,0,4,2,171,0,0,13.6,11,1,1,1,1,1,0,0,2.26,1.13,96.61,0,0,13.01,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00752006,ST ROCH SCHOOL,2,13,6040 WATERMAN BLVD,SAINT LOUIS,29510,510,MO,29,63112,3147212595,174,6.75,Yes,,27,21,17,19,21,21,21,18,21,25,,,,,211,184,0,10,8,45,111,0,10,12.8,11,1,1,1,1,1,0,5.43,4.35,24.46,60.33,0,5.43,14.38,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
00752028,ST STEPHEN PROTOMARTYR SCHOOL,2,13,3929 WILMINGTON AVE,SAINT LOUIS,29510,510,MO,29,63116,3147524700,179,7.08,Yes,,51,23,27,27,27,27,25,24,30,22,,,,,283,232,0,1,7,2,221,0,1,14.3,11,1,1,1,1,1,0,0.43,3.02,0.86,95.26,0,0.43,16.22,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
02041635,TOWER GROVE CHRISTIAN ACADEMY,3,17,4257 MAGNOLIA AVE,SAINT LOUIS,29510,510,MO,29,63110,3147766473,180,7,Yes,,,17,24,20,15,22,18,14,12,12,16,17,19,14,220,220,0,16,6,80,91,0,27,22.3,11,1,1,3,2,1,0,7.27,2.73,36.36,41.36,0,12.27,9.87,5,ST. LOUIS CITY,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A0701439,TRANSFORMATION CHRISTIAN SCHOOL,3,7,5890 ETZEL AVE,SAINT LOUIS,29510,510,MO,29,63112,3143612120,179,7.5,Yes,,,9,4,36,,,,,,,,,,,49,49,0,0,0,48,0,0,1,2,11,1,1,1,2,1,0,0,0,97.96,0,0,2.04,24.5,8,ST. LOUIS CITY,Association of Christian Schools International (ACSI),,,,,,,
00755572,WORD OF LIFE LUTHERAN SCHOOL,2,13,6535 EICHELBERGER ST,SAINT LOUIS,29510,510,MO,29,63109,3148321244,176,7,Yes,,46,17,13,16,16,17,13,14,14,14,,,,,180,134,1,3,3,40,87,0,0,11.4,11,1,1,1,2,1,0.75,2.24,2.24,29.85,64.93,0,0,11.75,20,ST. LOUIS CITY,Other religious school association(s),,,,,,,
